score_raw,score_transform
998.452180741212,934.50601065681
998.298219832722,904.707825254308
998.253889356919,890.956460112402
998.239063025207,881.915414074051
998.185848629197,872.273241636125
998.099653127016,847.163715595474
998.080426513088,838.92912577119
998.050409476218,833.54209504375
998.010473015083,827.227154192494
997.999726913995,824.514111321147
997.974829111058,815.169905659076
997.952549385548,806.724253319766
997.939099045244,803.578323990262
997.90508174356,798.772565771565
997.882143464581,795.461352143883
997.868349254556,793.288345058662
997.864877400517,792.503647807193
997.861794459783,791.688751105122
997.852420814369,789.720614505265
997.849487740588,788.617351260063
997.837411370737,785.206214820008
997.835896457063,784.45230133077
997.833921442108,783.904126192647
997.825905926282,782.835466679194
997.81829240014,781.569745410553
997.798464810759,777.823287825899
997.787808516375,774.902414867528
997.784957707092,774.438645292304
997.77213857086,773.037193041202
997.766474236611,770.570490753776
997.752954473373,768.493562757922
997.749617270378,766.116385460062
997.739127124875,765.000612774833
997.732056999105,764.092267623092
997.729742419179,763.457850178796
997.724075642981,761.266801420448
997.71977975513,759.874935341942
997.713671366628,758.561842829087
997.708722606515,757.912926668656
997.70595432268,757.15773335988
997.700949394045,754.955529720238
997.699619243687,754.539761672211
997.697953175873,753.566904969657
997.695393640377,752.875757866537
997.693783373613,752.524259635949
997.689376609055,750.647486707948
997.678577877553,749.155142534529
997.671314250709,748.175842309113
997.667175407849,747.646786514919
997.664777811291,746.81338383232
997.661973306601,745.776516412604
997.657106728807,745.127034380385
997.652975835367,744.0822545546
997.647095981192,743.33426918637
997.644063218018,742.92181591538
997.640466863257,741.759438822295
997.636802482817,741.079624002482
997.631824739252,739.969293957844
997.629811580214,738.708831930654
997.622555642384,738.020513838812
997.616776109367,736.451199039555
997.613407332522,735.515938152339
997.608696690436,733.732268237968
997.603824659804,732.229009987873
997.595493351605,730.607500386933
997.589753741595,728.879304102233
997.587016919971,728.139679200722
997.584263146941,726.732849789454
997.579983580263,725.620453754496
997.578717357955,725.034092548391
997.576981184902,724.442796793379
997.57330590917,723.942761329388
997.570041387487,723.45870525336
997.56855614409,723.114196107288
997.558798770555,722.27963544235
997.558537060132,722.124100491223
