prob,socre,rank
0.0426696375423894,957.330362457611,642
0.0381838415567687,961.816158443231,535
0.0415272410047059,958.472758995294,619
0.0541857207836183,945.814279216382,872
0.0292746311583557,970.725368841644,223
0.0357063849548812,964.293615045119,478
0.0450876959046679,954.912304095332,693
0.0831186798768206,916.881320123179,989
0.0301758543123335,969.824145687667,255
0.0591899517401867,940.810048259813,936
0.0234002775521074,976.599722447893,27
0.0691438222205692,930.856177779431,976
0.0374143062053784,962.585693794622,514
0.0263339428835775,973.666057116423,110
0.0520315569611303,947.96844303887,845
0.0319671956048889,968.032804395111,323
0.0326741923482892,967.325807651711,356
0.0373239828106844,962.676017189316,510
0.0285729495231559,971.427050476844,191
0.0401102485192479,959.889751480752,584
0.0558297241673687,944.170275832631,900
0.0412344938249254,958.765506175075,611
0.0346985985293383,965.301401470662,433
0.0240666848449113,975.933315155089,42
0.0463057920050441,953.694207994956,721
0.0370826878541156,962.917312145884,504
0.0314656761432694,968.534323856731,301
0.0589137732415657,941.086226758434,933
0.0310275699247915,968.972430075209,283
0.0247421306202569,975.257869379743,55
0.0254903752125035,974.509624787497,75
0.0472164746153627,952.783525384637,744
0.0315034378873936,968.496562112606,306
0.052153591695713,947.846408304287,847
0.0301498229091714,969.850177090829,253
0.0566626053505389,943.337394649461,911
0.0527907333419046,947.209266658095,858
0.0623766606852761,937.623339314724,956
0.0586166389665713,941.383361033429,928
0.0444443121569128,955.555687843087,681
0.0345658076063035,965.434192393696,428
0.0487155649263845,951.284435073615,784
0.0418826572049925,958.117342795008,628
0.0260656709379649,973.934329062035,100
0.0525414235471396,947.45857645286,855
0.0590862118755746,940.913788124425,934
0.0429737712396132,957.026228760387,649
0.0486850215083218,951.314978491678,781
0.0378663925046254,962.133607495375,532
0.0491651084829741,950.834891517026,795
0.0515954934312768,948.404506568723,836
0.0228541337300487,977.145866269951,17
0.0382588513291329,961.741148670867,537
0.033075646818632,966.924353181368,373
0.0326539033893457,967.346096610654,354
0.0235865177910996,976.4134822089,29
0.0378006936983157,962.199306301684,527
0.0232848278818603,976.71517211814,21
0.0527458071610911,947.254192838909,856
0.0473165452755148,952.683454724485,750
0.0276046279398964,972.395372060104,156
0.0306104575933519,969.389542406648,267
0.0551612330280189,944.838766971981,889
0.0441467810612454,955.853218938755,677
0.0238301939730481,976.169806026952,35
0.0343959717918794,965.604028208121,421
0.0476883999069272,952.311600093073,759
0.0645681159437368,935.431884056263,963
0.0259222829812047,974.077717018795,91
0.0430521678483823,956.947832151618,651
0.0320726610985453,967.927338901455,327
0.0814008780547047,918.599121945295,987
0.0495512683880263,950.448731611974,802
0.0277716164274672,972.228383572533,164
0.0389373927974787,961.062607202521,553
0.0346020556843375,965.397944315663,430
0.0537627924331582,946.237207566842,868
0.0594798423345281,940.520157665472,939
0.0292204660919156,970.779533908084,219
0.160831297607909,839.168702392091,1000
0.0388606630669601,961.13933693304,551
0.0307810183394576,969.218981660542,275
0.0271133092812395,972.886690718761,139
0.0396480256352921,960.351974364708,574
0.047356478556739,952.643521443261,752
0.0469460516026594,953.053948397341,732
0.0585411787843152,941.458821215685,927
0.0437743456226651,956.225654377335,668
0.0344811951543704,965.51880484563,424
