intercept,AGE,G1E_TOT_CHOL,G1E_HDL,G1E_LDL,G1E_TG,G1E_FBS,G1E_HGB,G1E_SGOT,G1E_SGPT,G1E_GGT,G1E_BMI,G1E_WSTC,G1E_BP_SYS,G1E_BP_DIA,EGFR,SMK_COMBINED1,SMK_COMBINED2,DRK_CON,METS,Q_FHX_STK1,Q_FHX_HTN1,Q_FHX_HTDZ1,Q_FHX_DM1,METS^2,DRK_CON^2
-6.89434403,0.0732354,-0.00137975,0.00024811,-2.002e-05,0.00032007,0.00581831,-0.07289727,0.00304878,-0.00068595,0.00120544,-0.01601159,0.00882173,0.00184204,0.00235398,-0.00201277,0.10800807,0.49075821,-0.00052693,-0.0001997,0.00280354,-0.04180809,0.13010045,-0.06118234,6e-08,-5.391e-05
-6.51813598,0.0767191,-0.00214417,0.00044135,0.00023694,0.00014678,0.00363646,-0.05903479,0.00490844,-0.00110303,0.001527,-0.01743859,0.00717468,0.00379608,-0.00157287,-0.00076379,0.15201088,0.47667927,-0.01285629,-0.00013958,-0.07245763,-0.00645514,0.03130518,0.01275566,4e-08,0.00039562
