score_raw,score_transform,age
951.338388208698,1000,30
947.418861710513,933.782057251727,40
946.371641029079,920.776845553596,50
946.053965492145,916.631321505775,60
943.396307136153,892.037386685528,70
942.379212470308,871.883212277405,30
941.400431972135,860.41440858907,40
941.293043632083,858.967890629249,50
940.893644682674,854.453929394861,60
940.22974700937,848.960475070588,70
939.920158931708,842.86832782785,30
939.628038060954,828.320880691462,40
939.421718410588,825.682446570693,50
938.563773903672,816.704658777013,60
938.304269856228,814.49112467037,70
937.72100116989,809.089991887776,30
937.196205221765,802.440277232724,40
936.562440541871,796.492334199955,50
936.290833680151,793.75190221532,60
935.847878368831,790.090303468657,70
935.522352383289,787.291846347489,30
935.234704342561,784.184578500487,40
935.178535675534,782.698128737443,50
934.901101382232,780.47643301787,60
934.637090460755,778.065474744938,70
934.602018192956,777.20809550397,30
934.482770094078,775.992767516287,40
934.253054971289,773.046997263322,50
933.727920049841,767.777316210301,60
933.330292194865,762.291678573742,70
933.029437736202,760.120072093838,30
932.910312814995,759.150430251963,40
932.582655280485,756.701010054285,50
932.367463847429,755.056905925375,60
932.201227127363,753.205998628917,70
931.855312702058,750.891905931148,30
931.710178779431,749.844606385215,40
931.195962830606,746.373517121473,50
930.978294575842,744.634935663003,60
930.931471166436,744.083341485665,70
930.902979649417,743.241079812083,30
930.736214955991,741.903505281781,40
930.579530915523,740.264567647824,50
930.531072549747,739.948974293021,60
930.197656586209,737.595247348301,70
930.152965023015,737.049892198685,30
929.792206809419,734.50608100333,40
929.650797298799,733.007096698444,50
929.542029950221,731.820136645386,60
929.390180036271,730.768915310396,70
929.294908601578,729.566243779101,30
928.970830749754,727.466647883837,40
928.907065409895,726.394231097642,50
928.677673490197,724.919961974566,60
928.625972290032,724.550511849417,70
928.36680546123,722.778929428644,30
928.227622582825,721.791054038259,40
928.213065089146,721.494580403882,50
928.183802806826,721.125055427877,60
927.998045938736,719.879388073787,70
927.985963629226,719.738300887376,30
927.853434094618,718.446972378799,40
927.830445614211,718.080888063288,50
927.702211423169,716.501258295044,60
927.40919607216,714.328896182225,70
927.254326850234,713.37578735833,30
927.107745922179,712.224009949116,40
926.974918544254,711.416079833902,50
926.909907185672,710.597430592944,60
926.804073977547,709.954915535294,70
926.672345753997,708.778210698747,30
926.595884276701,708.228571501592,40
926.350838432267,706.76903072417,50
926.25860637163,705.824563078613,60
926.142103129187,705.113445141135,70
926.035633467646,704.263525946881,30
925.895478987652,703.406478546817,40
925.774808504788,702.576934558865,50
925.666869205193,701.313894436879,60
925.623594754824,700.775088995547,70
925.59989876843,700.294474841612,30
925.399065249312,698.761988044063,40
925.114163823261,697.150971830164,50
925.034197797421,696.632713826078,60
924.788458111111,695.227479732582,70
924.72962273817,694.826197018268,30
924.661819416837,694.382650486503,40
924.469029182791,693.2144307385,50
924.377023127356,692.400534428008,60
924.319650636559,692.055851215423,70
924.192195496494,690.826650176978,30
924.147982909831,690.134095862689,40
923.956942341172,689.023173464181,50
923.921144554681,688.330105433243,60
923.824172915064,687.677000152799,70
923.711601216601,686.912448699965,30
923.449732531834,685.437725134983,40
923.331467632112,684.610443951589,50
923.201838003544,683.725000717428,60
923.110940898831,682.8185073629,70
923.009216458211,681.69599653793,30
922.986322550014,681.530081511919,40
922.861275928134,680.772836754909,50
922.634383466227,679.257414830381,60
922.471355076486,678.23170508949,70
922.435900281149,677.985342251147,30
922.394546462473,677.450592723022,40
922.235015759695,676.476935994633,50
922.059218064706,675.079462594088,60
921.959734204312,674.551511874811,70
921.926138620061,674.307980675386,30
921.872710153597,673.910065686195,40
921.823721807079,673.601596564971,50
921.750382814968,673.049851974459,60
921.71941932702,672.858116246191,70
921.624998434073,672.065687407449,30
921.597682406372,671.830524035562,40
921.475422074873,671.108657615952,50
921.271708839958,669.947872000955,60
921.220400363271,669.646886632443,70
921.043615462922,668.566812134761,30
920.981410999804,667.904071264232,40
920.945790490506,667.510609697976,50
920.656371073789,665.97598237492,60
920.581548119463,665.232207888294,70
920.508086831971,664.802150814698,30
920.416716589318,664.14376348477,40
920.381015551862,663.833088751374,50
920.327588962556,663.459910635648,60
920.14823479516,662.526309908845,70
920.073270215494,662.04589381063,30
920.062336686344,661.980548215542,40
920.031588721539,661.760073534226,50
919.705190190677,660.003747102536,60
919.653397027576,659.722824456632,70
919.599037851719,659.381519896112,30
919.486009989877,658.341943793389,40
919.474955300686,658.275223635831,50
919.45401846824,658.150238727081,60
919.406200792955,657.8988296107,70
919.393091638407,657.757519978213,30
919.346325169191,657.505238619128,40
919.204192303783,656.361067926143,50
919.173791377386,656.112261993173,60
919.153150022507,655.969899837411,70
919.059663246003,655.508453086662,30
918.920931201875,654.692399924524,40
918.858098645527,654.362255649347,50
918.809289906149,654.115709555966,60
918.763215337659,653.816993759296,70
