score_raw,score_transform,age
939.059682191351,1000,30
930.964740689205,948.911873212027,40
929.769259224236,910.151039174693,50
924.330732235141,883.95513787424,60
922.423669796537,855.15335662524,70
920.283199608598,842.30717189407,30
919.822846694221,840.113803546262,40
918.194788772578,830.358536891847,50
917.529805976657,825.027482888337,60
916.721312068817,820.558548381979,70
916.129701430506,807.817949783647,30
915.200124497735,795.625088761973,40
913.051770295274,779.325835425943,50
912.538355891617,777.237560506301,60
912.137622517759,775.585859933108,70
911.720076308358,773.15638695788,30
911.539623763975,772.4095222497,40
910.955678251544,769.054228091503,50
910.661622325693,766.972601986572,60
909.814397360216,762.950250294133,70
908.327219533003,757.215153610179,30
907.817221717919,754.868788166917,40
907.587183878612,753.704649893961,50
907.22544223447,752.187437227917,60
906.49794984869,749.498080709418,70
905.909764336026,747.072293085626,30
905.597017474072,745.841345317304,40
904.588326343998,742.062855081587,50
904.272017828556,740.829973082021,60
903.959055885241,739.659355755094,70
903.836340948113,739.19979434381,30
903.280465625871,737.150861108925,40
903.0173570143,736.122039436079,50
902.894059564342,735.369731723316,60
902.062762603128,732.329677458096,70
901.772450089547,730.872320477442,30
901.698015635636,730.435070390549,40
901.343770630781,729.13718114295,50
900.968146855869,727.835860232543,60
900.399334139688,725.689263121033,70
900.293907590915,725.170134672775,30
899.727925537703,722.815589207739,40
899.303268359271,721.377317785194,50
899.22455941797,721.008489483604,60
899.041671368731,720.302631882116,70
898.902202731122,719.751622315583,30
898.566190768687,718.597684382588,40
898.244074384186,717.54442054044,50
897.730007244882,715.872846611316,60
897.457200260647,715.006032868558,70
897.063815001436,713.751357295953,30
896.813908019728,712.618045615429,40
896.621129039265,711.987786156912,50
896.347188451404,711.028156296469,60
895.908540934768,709.64549972713,70
895.670748587581,708.834655032555,30
894.440533598866,704.974148960718,40
893.989834055832,703.594262932962,50
893.682671437706,702.656080614891,60
893.447871725213,701.894889500029,70
893.329822314428,701.445429524129,30
893.232385321081,701.046900534717,40
893.046106889045,700.068065208555,50
892.909929590202,699.592828005497,60
892.826760977602,699.155122981495,70
892.606783887326,698.383106689162,30
892.280726014479,697.302307863336,40
891.822093607414,695.926936231123,50
891.713305851868,695.42019007145,60
891.480482607264,694.725805271934,70
891.398538280937,694.443258455581,30
890.459118299375,691.564099034237,40
890.407112824937,691.29778819808,50
890.12817373972,690.426223713569,60
889.491017905137,688.218730338387,70
889.366795453974,687.759955725102,30
889.186461520574,687.176741710399,40
888.937556316042,686.35777634168,50
888.726544886397,685.681580932565,60
888.635114186419,685.327657240503,70
888.538572332935,685.017706237196,30
888.448625990136,684.684939897275,40
888.206247913127,683.998476814437,50
887.786975662096,682.561321388444,60
887.658682601349,682.069181473494,70
887.604151310105,681.804588266018,30
887.508945323928,681.529066150831,40
887.15576124146,680.529159405232,50
886.709588123883,678.997569378961,60
886.572675866562,678.531216111019,70
885.947422994474,676.541052183385,30
885.645448739503,675.507207987229,40
885.518513015844,675.076829540729,50
885.477957786295,674.884899920206,60
885.37107112776,674.501256258637,70
885.315618028097,674.27922201027,30
884.655028380755,672.386563476124,40
884.568054779429,672.089144901597,50
884.122278079124,670.775720158922,60
884.086427102864,670.568421897315,70
884.014573680697,670.317578709264,30
883.745152238192,669.485642740333,40
883.551781581926,668.697626686967,50
883.396912016111,668.125244147662,60
883.292458144053,667.771133268066,70
883.253863922475,667.60196666706,30
882.976413190893,666.822126363237,40
882.852295675667,666.459660754862,50
882.591927578,665.652649756859,60
882.420837683132,665.149915363707,70
882.367158076638,664.922340849723,30
882.290435970736,664.650083651448,40
881.910614179734,663.560326087336,50
881.74749555634,663.029614432986,60
881.381797871555,661.956534765497,70
881.242413057201,661.545631576124,30
881.164134262376,661.296842557582,40
881.085493048214,660.958782630184,50
880.986152663715,660.5514960677,60
880.915081504232,660.356832342481,70
880.76153108789,659.90115150217,30
880.706230032422,659.559480771261,40
880.524013533417,658.968042298422,50
880.341972601274,658.483735737042,60
880.228956503188,658.162485785809,70
880.156258927839,657.892890727798,30
880.083159925689,657.376679551662,40
879.644760390437,655.94908027633,50
879.269170591365,654.832180254463,60
879.100429535338,654.313066866017,70
878.864119323408,653.684558848604,30
878.793988033183,653.446203509282,40
878.638863841362,653.018321742828,50
878.438906923012,652.477013710355,60
878.38944108122,652.312331608665,70
878.222711329811,651.751380741586,30
877.980468599721,651.10190218663,40
877.840967185317,650.68774005479,50
877.726791401002,650.3230241569,60
877.568491517627,649.850926106498,70
877.475358815041,649.574287307702,30
877.447077323798,649.432619085627,40
877.019924760059,648.288929497495,50
876.974951667351,648.159337427104,60
876.930752631471,647.962281316208,70
876.894447655401,647.834804594417,30
876.765977853155,647.455755591014,40
876.548884017937,646.879359086331,50
876.464689866782,646.544728089359,60
876.368285870037,646.228767849781,70
876.348104369178,646.07082993378,30
876.260640703557,645.788630624144,40
876.210283850049,645.640327944787,50
876.132267915226,645.345371578902,60
875.977520434411,644.911777093078,70
875.936351449948,644.758568761224,30
875.718729046009,643.975790370867,40
875.549828791369,643.444534633828,50
875.36625001748,642.971536304676,60
875.152097099753,642.394446340919,70
875.118247976206,642.279438117681,30
874.968547573164,641.850101042753,40
874.932467800371,641.68208402084,50
874.716521043695,641.070902214645,60
874.601347826131,640.723101700899,70
874.52231333516,640.485266974173,30
874.484293954645,640.376968735845,40
874.288862539403,639.855081499139,50
874.216487521417,639.583792560648,60
874.200686908719,639.537203884475,70
874.171221892752,639.363083941986,30
874.09313278726,639.113627104432,40
873.915383524451,638.607434054879,50
873.852343547463,638.418705712554,60
873.740015616193,638.134377948425,70
873.68308786434,637.914970072675,30
873.615159674163,637.678386302635,40
873.592702515842,637.618019094377,50
873.543023815851,637.451072814188,60
873.486370380205,637.207296440811,70
873.479459325166,637.175842635026,30
