disease,age,hr
t2dm,40,1.201
t2dm,50,1.377
t2dm,60,1.562
t2dm,90,1.22
mace,40,1.124
mace,50,1.136
mace,60,1.106
mace,90,1.068
brain,40,1.107
brain,50,1.135
brain,60,1.038
brain,90,1.054
cancer,40,1.195
cancer,50,1.082
cancer,60,1.116
cancer,90,1.038
htn,40,1.323
htn,50,1.339
htn,60,1.432
htn,90,1.148
