SEX,AGE,score_raw,score_transform
2,30,998.048469786901,1000
2,30,997.992680442292,996.925150015751
2,30,997.909566328477,992.014974134561
2,30,997.867135610196,987.668428052222
2,30,997.739706188472,983.455407989466
2,30,997.667454075059,981.322711281302
2,30,997.604067762267,978.490466754092
2,30,997.587318073249,977.480119231443
2,30,997.562396784638,974.102574720723
2,30,997.55881718586,973.801738390538
2,30,997.546458667076,973.555353950253
2,30,997.537714275797,972.611140330594
2,30,997.531564050426,972.112976571746
2,30,997.508704428463,971.613150359827
2,30,997.494718502454,970.18830968068
2,30,997.476257272257,969.380073315931
2,30,997.468964733185,968.374542505027
2,30,997.460454633326,967.772736917402
2,30,997.448382712312,966.654398925842
2,30,997.431722029807,965.528862595996
2,30,997.408798992855,964.622662297776
2,30,997.404650428642,964.543420455138
2,30,997.379788202182,963.147792440224
2,30,997.372004696116,962.609727155985
2,30,997.362822464015,961.895798604975
2,30,997.356977480208,961.729036777494
2,30,997.355635424071,961.60920102838
2,30,997.340548321642,959.94774245868
2,30,997.32124499753,959.215157916848
2,30,997.318858228911,958.962294000231
2,30,997.31348229015,958.783105489647
2,30,997.294751425712,958.401343591972
2,30,997.28230209749,958.06144745509
2,30,997.256714279452,957.537163985026
2,30,997.242741177566,956.885027512637
2,30,997.234885964467,956.367192724103
2,30,997.215505561492,955.710889238262
2,30,997.199040670131,955.198076232099
2,30,997.195079874251,954.889777598585
2,30,997.183033763953,954.157816148657
2,30,997.174756779756,953.849286465936
2,30,997.167785010879,953.350182375029
2,30,997.155532506917,952.599761846925
2,30,997.14998658174,952.119138839728
2,30,997.147189445331,951.623259679125
2,30,997.138191178684,951.378522318143
2,30,997.132101711217,951.07054382404
2,30,997.125236792222,950.726640433911
2,30,997.117277042432,950.059540388844
2,30,997.114649351982,949.803921877599
2,30,997.108886787297,949.496706286042
2,30,997.108118523288,949.428899305715
2,30,997.097661254261,949.200599634584
2,30,997.093047787519,948.741841116419
2,30,997.075361095478,948.193594111779
2,30,997.067933469684,947.781091026864
2,30,997.059481531411,947.198374558599
2,30,997.054379672678,946.986525283846
2,30,997.052109294936,946.884822222731
2,30,997.048885117569,946.307341680055
2,30,997.045371192729,946.113656689566
2,30,997.04041761686,945.889218400484
2,30,997.037811962624,945.690122163133
2,30,997.030306274129,945.166535245186
2,30,997.027050984263,944.857219723705
2,30,997.022149540772,944.748358798278
2,30,997.016086963816,944.522700249954
2,30,997.009117698036,944.007437770486
2,30,997.001816239577,943.772249853438
2,30,996.99770793708,943.569558789817
2,30,996.996128245227,943.442075090653
2,30,996.984100293429,943.128221526576
2,30,996.977339278401,942.993575761245
2,30,996.975815761873,942.888428083548
2,30,996.969730358633,942.752717935826
2,30,996.967238872451,942.69898858991
2,30,996.961401615344,942.322072419236
2,30,996.951869785761,942.174224065066
2,30,996.949380820953,941.751632789311
2,30,996.945047721464,941.385372836693
2,30,996.939341086717,941.161648005321
2,30,996.92617901996,940.492393894436
2,30,996.920679966423,940.293767214099
2,30,996.916703145591,940.081841976315
2,30,996.902419966226,939.605100387573
2,30,996.896027787336,939.361931762915
2,30,996.893353957548,939.275045905548
2,30,996.889914381453,939.015215442449
2,30,996.888550924053,938.971579236969
2,30,996.886737127846,938.877112569657
2,30,996.878104041726,938.713556096502
2,30,996.874041345301,938.239236027666
2,30,996.870645196982,938.056495582741
2,30,996.868425839718,937.888827963742
2,30,996.848727478365,937.38093596588
2,30,996.845178791312,937.130092225878
2,30,996.843112233913,936.96929410544
2,30,996.84189483286,936.904692147795
2,30,996.84096958927,936.843407572633
2,30,996.834908279341,936.646988900428
2,30,996.82251503532,936.391344869023
2,30,996.82105678525,936.314220235309
2,30,996.814184829988,936.077862040554
2,30,996.810170246242,935.824696846092
2,30,996.807788904413,935.571172016182
2,30,996.805744606502,935.350172877011
2,30,996.804277719388,935.246729332166
2,30,996.799246037296,934.97381866594
2,30,996.797366995651,934.878864517134
2,30,996.791826946937,934.782704913171
