SEX,AGE,score_raw,score_transform
1,30,997.208950263797,1000
1,30,996.971636809568,975.582024928632
1,30,996.817349721694,963.606840246358
1,30,996.654924940079,958.586268239474
1,30,996.634219956825,958.060822758995
1,30,996.553848269891,953.778968796166
1,30,996.482970923039,951.928707227838
1,30,996.452044127581,950.040800192554
1,30,996.358936667872,945.682880799017
1,30,996.339430669214,944.672046387735
1,30,996.307934309443,943.804301653561
1,30,996.287170019557,943.307575140363
1,30,996.272277470361,942.248561904627
1,30,996.225873075116,941.530651308623
1,30,996.211282146595,941.029528313292
1,30,996.173058887837,939.273859794234
1,30,996.112283962438,937.119398887834
1,30,996.0907449739,936.099666666124
1,30,996.05316642804,935.352247799142
1,30,996.019945647407,933.917516586837
1,30,996.00686308518,933.309580110198
1,30,995.921043380655,931.019280502856
1,30,995.913348685422,930.753769572771
1,30,995.864710809786,928.80637464118
1,30,995.849043755984,928.300475036904
1,30,995.793594128229,926.727567304404
1,30,995.756106825405,925.796418558269
1,30,995.676279503354,924.087505891767
1,30,995.645284566954,923.666304550409
1,30,995.637867544989,923.41799044298
1,30,995.619492358278,922.993074735139
1,30,995.572532299343,922.060498115542
1,30,995.564023595388,921.641153408906
1,30,995.500910427068,920.690093329073
1,30,995.433293776959,919.280562035224
1,30,995.407033127333,918.47138789309
1,30,995.400738730779,918.148096773784
1,30,995.381899327822,917.680834759015
1,30,995.358560735038,917.21609785945
1,30,995.33058178227,916.521602108085
1,30,995.289130177123,915.495805029162
1,30,995.260941946135,915.016802422547
1,30,995.240413393569,914.139632221128
1,30,995.210103521765,913.777912097045
1,30,995.191495911102,913.318356925602
1,30,995.132613017827,912.608417910231
1,30,995.125886074675,912.478483611965
1,30,995.122714806176,912.100373855178
1,30,995.099703998624,911.676428325875
1,30,995.062661403006,910.829646716145
1,30,995.019071071547,909.955416546261
1,30,995.015668453528,909.844206355697
1,30,994.969099430923,909.242817084298
1,30,994.939455192308,908.47451323642
1,30,994.91536804841,908.140763410909
1,30,994.89962930911,907.631002589323
1,30,994.892594245766,907.399614451534
1,30,994.878597757513,907.005008398964
1,30,994.866861491172,906.786701042017
1,30,994.847442541026,906.153789723921
1,30,994.837552514607,905.882305881474
1,30,994.831555664211,905.772838113758
1,30,994.806969050978,905.453844448502
1,30,994.787734367936,904.876656139554
1,30,994.766838708756,904.573013898025
1,30,994.756945830612,904.246770727966
1,30,994.730778722716,903.801035749934
1,30,994.713504352966,903.470998698987
1,30,994.695638928162,903.129813395292
1,30,994.691378249085,903.003804492847
1,30,994.683502517529,902.895335131092
1,30,994.666465421315,902.426126822787
1,30,994.659365319728,902.235083381252
1,30,994.642243507029,901.888367460528
1,30,994.63285588164,901.554125304206
1,30,994.617834462945,901.061377146021
1,30,994.602602507451,900.622548961385
1,30,994.564360733468,899.71471626343
1,30,994.54852787684,899.207220900428
1,30,994.525541782877,898.826119685378
1,30,994.481282491959,898.089645162401
1,30,994.468916301811,897.724244565894
1,30,994.448213779378,897.462527661993
1,30,994.437891860507,897.273054537565
1,30,994.427793236974,897.041768447905
1,30,994.421231421147,896.843983730574
1,30,994.392053184812,896.008531934161
1,30,994.379868660292,895.768577581806
1,30,994.357191724269,895.32808871592
1,30,994.344422870794,895.198161384662
1,30,994.338710148663,894.988353659897
1,30,994.333210120348,894.802193616323
1,30,994.267966932966,893.863851113152
1,30,994.262847520643,893.744632495119
1,30,994.235871434378,893.234840486039
